floc,floc_description,work_order_id,work_order_basic_finish_date,work_order_desc,activity_type,level
BR101267-91-01,Bridge 605.690km TRACK 1,80107493,2022-05-08,SR_BL_CableLoc_605.690km,C20,Structure Track
BR101267-91-01,Bridge 605.690km TRACK 1,80107924,2022-05-19,SR_Bridge RO_BAJ 605.690 DN RD_ISO/BD,C20,Structure Track
BR101267-91-01,Bridge 605.690km TRACK 1,80107928,2022-05-27,Bridge Rollouts Renewal (6 Mile Ck).,C20,Structure Track
BR101267-91-01,Bridge 605.690km TRACK 1,80107499,2022-05-27,SR_BL_Bond-SA2-T&C-TU_605.690km,C20,Structure Track
BR101267-91-01,Bridge 605.690km TRACK 1,80107500,2022-05-29,SR_BL_Bond-SA2-T&C-TU_605.690km,C20,Structure Track
BR101267-91-01,Bridge 605.690km TRACK 1,80107857,2022-05-29,Bridge Rollouts Renewal (6 Mile Ck).,C20,Structure Track
BR101279-91-01,Bridge 605.690km TRACK 1,80114395,2023-12-01,C20-BR-BW-SIX MILE CK-UP-605.635KM,C20,Structure Track
BR101299-91-01,Bridge 613.020km TRACK 1,80114397,2023-08-07,C20-BR-BW-OAKY CK-UP-613.020KM,C20,Structure Track
BR101312-91-01,Bridge 618.850km TRACK 1,80100643,2023-06-06,BBR BW Archer - Midgee 618.85km Up Rd (B,C20,Structure Track
BR101331,Bridge 537.850km GEMM Calliope River UP,80107510,2023-06-30,FY22 Survey BW Calliope River Bridge,C20,Bridges
BR101331-91-01,Bridge 537.850km TRACK 1,80112420,2023-12-22,C20-BR-BW-CALLIOPE RIVER UP-537.672KM,C20,Structure Track
BR101404-91-01,Bridge 546.550km TRACK 1,80108349,2022-12-31,FY23 BW Targinne Up DCP Only,C20,Structure Track
BR101404-91-01,Bridge 546.550km TRACK 1,80116107,2024-02-03,Yarwun-Mt Miller UP-C20(Pre Broom/Lift),C20,Structure Track
BR101404-91-01,Bridge 546.550km TRACK 1,80116108,2024-02-05,Yarwun-Mt Miller UP - C20,C20,Structure Track
BR101404-91-01,Bridge 546.550km TRACK 1,80115712,2024-02-12,SR_YN UP CP TSR Supp 546.378-546.702km,C20,Structure Track
BR101404-91-01,Bridge 546.550km TRACK 1,80116148,2024-02-17,Yarwun-Aldoga Up - C20 (Follow Up),C20,Structure Track
BR101404-91-01,Bridge 546.550km TRACK 1,80112442,2024-04-08,C20-BR-BW-TARGINNIE ROAD-UP-546.478KM.,C20,Structure Track
BR101453-91-01,Bridge 572.990km TRACK 1,80107048,2022-03-28,Bridge Rollouts (Hut Ck). C20_572.ISO/BD,C20,Structure Track
BR101453-91-01,Bridge 572.990km TRACK 1,80107050,2022-04-01,Bridge Rollouts Renewal (Hut Ck).,C20,Structure Track
BR101453-91-01,Bridge 572.990km TRACK 1,80106980,2022-04-02,Bridge Rollouts Renewal (Hut Ck).,C20,Structure Track
BR101453-91-01,Bridge 572.990km TRACK 1,80107165,2022-04-04,Bridge Rollouts (Hut Ck)_ISO/H&S/BD/BMF,C20,Structure Track
BR101453-91-01,Bridge 572.990km TRACK 1,80108269,2022-12-31,FY23 BW Hut Creek Up DCP Only,C20,Structure Track
BR101453-91-01,Bridge 572.990km TRACK 1,80116253,2024-04-07,SR_CABLE LOC_AMBROSE/EPALA UP,C20,Structure Track
BR101453-91-01,Bridge 572.990km TRACK 1,80116397,2024-04-20,SUP TSR AE-EP UP C20 HUT CREEK 572.934KM,C20,Structure Track
BR101453-91-01,Bridge 572.990km TRACK 1,80114565,2024-05-03,C20-BR-BW-HUT CREEK-UP-572.934KM,C20,Structure Track
BR101606-91-01,Bridge 546.170km TRACK 1,80106731,2022-02-07,SR-YAR TSR ERECT/REMOVE 545.900-546.400K,C20,Structure Track
BR101606-91-01,Bridge 546.170km TRACK 1,80106663,2022-02-21,BBR (BOATS Ck)_546.132 Up_ISO/H&S/BD/BMF,B04,Structure Track
BR101606-91-01,Bridge 546.170km TRACK 1,80106388,2022-03-10,BBR BW Yarwun 546.089km to 546.252km Up,C14,Structure Track
BR200342-91-01,GA-DB--000.300km TRACK 1,80107566,2023-01-27,BBR GA Daly Bay No.1 ARR 0.33 17m,C20,Structure Track
BR200350-91-01,GA-DB--000.300km TRACK 1,80107335,2023-01-27,BBR GA Daly Bay No.3 ARR  0.33 17m,C20,Structure Track
BR200434,Bridge 85.630km SILV Downs Creek,80108040,2022-07-28,Lake Vermont - Saraji Main C20,C20,Bridges
BR200434,Bridge 85.630km SILV Downs Creek,80109449,2022-08-18,BBR GA LVJ-SAJ Downs Ck 85.590-86.300KM,C20,Bridges
